Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date
Ride 3,XOne,Racing,Bandai Namco Entertainment,0.03,,,0,0.03,30/11/2018
MXGP Pro,XOne,Racing,Milestone S.r.l.,0.03,,,0,0.03,10/7/2018
All-Star Fruit Racing,PS4,Racing,PQube,0.03,,,0.01,0.03,21/8/2018
Trailblazers,PS4,Racing,Rising Star Games,0.02,,,0,0.02,8/5/2018
ATV Drift & Tricks,XOne,Racing,Microids,0.02,,,0,0.02,20/11/2018
Gear Club Unlimited 2,NS,Racing,Microids,0.02,,,0,0.02,4/12/2018
GRIP: Combat Racing,NS,Racing,U&I Entertainment,0.01,,,0,0.02,6/11/2018
Dakar 18,XOne,Racing,Deep Silver,0.01,,,0,0.02,25/9/2018
GRIP: Combat Racing,PS4,Racing,U&I Entertainment,0.01,,,0,0.01,6/11/2018
Moto Racer 4,NS,Racing,Maximum Games,0.01,,,0,0.01,20/11/2018
All-Star Fruit Racing,NS,Racing,PQube,0.01,,,0,0.01,21/8/2018
F1 2018,PC,Racing,Codemasters,,0.01,,0,0.01,24/8/2018
Trailblazers,NS,Racing,Rising Star Games,0.01,,,0,0.01,15/4/2018
V-Rally 4,PS4,Racing,Bigben Interactive,0.01,,,0,0.01,11/9/2018
V-Rally 4,XOne,Racing,Bigben Interactive,0.01,,,0,0.01,11/9/2018
ATV Drift & Tricks,NS,Racing,Microids,0.01,,,0,0.01,22/11/2018
MotoGP 18,PC,Racing,Milestone S.r.l.,,0,,0,0,31/3/2018
Bayonetta 2,NS,Action,Nintendo,,,,,,16/2/2018
Captain Toad: Treasure Tracker,NS,Puzzle,Nintendo,,,,,,13/7/2018
Captain Toad: Treasure Tracker,3DS,Puzzle,Nintendo,0.06,0.04,0.08,0.01,0.19,13/7/2018
Detective Pikachu,3DS,Adventure,Nintendo,0.15,0.17,0.12,0.03,0.47,23/3/2018
Detective Pikachu,Series,Adventure,Nintendo,,,,,,23/3/2018
Donkey Kong Country: Tropical Freeze,NS,Platform,Nintendo,,,,,,4/5/2018
Dragalia Lost,And,Role-Playing,Nintendo,,,,,,27/9/2018
Dragalia Lost,iOS,Role-Playing,Nintendo,,,,,,27/9/2018
Go Vacation,NS,Misc,Nintendo,0.12,0.22,0.01,0.03,0.37,27/7/2018
Hyrule Warriors: Definitive Edition,NS,Action,Nintendo,0.21,0.15,0.07,0.03,0.46,18/5/2018
Kirby Star Allies,NS,Platform,Nintendo,,,,,,16/3/2018
Kirby: Battle Royale,3DS,Fighting,Nintendo,0.07,0.05,0.2,0.01,0.33,19/1/2018
Luigi's Mansion,3DS,Adventure,Nintendo,0.19,0.16,0.09,0.03,0.47,12/10/2018
Mario Tennis Aces,NS,Sports,Nintendo,,,,,,22/6/2018
Nintendo Labo: Toy-Con 01 Variety Kit,NS,Misc,Nintendo,,,,,,20/4/2018
Nintendo Labo: Toy-Con 02 Robot Kit,NS,Action,Nintendo,0.18,0.08,0.08,0.03,0.36,20/4/2018
Nintendo Labo: Toy-Con 03 Vehicle Kit,NS,Racing,Nintendo,0.16,0.15,0.06,0.03,0.41,14/9/2018
Octopath Traveler,NS,Role-Playing,Nintendo,,,,,,13/7/2018
Pokémon Crystal Version,3DS,Role-Playing,Nintendo,,0.11,,0.01,0.12,26/1/2018
Pokémon Quest,NS,Adventure,Nintendo,,,,,,29/5/2018
"Pokémon: Let's Go, Pikachu/Eevee",NS,Role-Playing,Nintendo,,,,,,16/11/2018
Super Mario Party,NS,Party,Nintendo,,,,,,5/10/2018
Super Smash Bros. Ultimate,NS,Fighting,Nintendo,,,,,,7/12/2018
The World Ends with You: Final Remix,NS,Role-Playing,Nintendo,0.14,0.08,0.03,0.02,0.27,12/10/2018
WarioWare Gold,3DS,Misc,Nintendo,0.11,0.03,0.13,0.01,0.28,3/8/2018
Xenoblade Chronicles 2: Torna ~ The Golden Country,NS,Role-Playing,Nintendo,0.08,0.05,0.02,0.01,0.16,21/9/2018
Yokai Watch Blasters: Red Cat Corps / White Dog Squad,3DS,Role-Playing,Nintendo,,,,,,7/9/2018
Akogare Girls Collection: Wan Nyan Doubutsu Byouin Pet no Oisha-san ni Narou!,3DS,Simulation,Nippon Columbia,,,,,,15/3/2018
Labyrinth of Refrain: Coven of Dusk,All,Role-Playing,Nippon Ichi Software,,,,,,18/9/2018
Metal Max Xeno,All,Role-Playing,NIS America,,,,,,25/9/2018
Penny-Punching Princess,PSV,Misc,NIS America,,,,,,3/4/2018
SNK Heroines: Tag Team Frenzy,All,Fighting,NIS America,,,,,,7/9/2018
The 25th Ward: The Silver Case,PC,Visual+Novel,NIS America,,,,,,13/3/2018
The 25th Ward: The Silver Case,PS4,Visual+Novel,NIS America,,,,,,13/3/2018
The Longest 5 Minutes,PC,Action,NIS America,,,,,,13/2/2018
Ys VIII: Lacrimosa of Dana,PC,Role-Playing,NIS America,,,,,,31/12/2018
Ys VIII: Lacrimosa of Dana,NS,Role-Playing,NIS America,0.03,0.03,0.03,0.01,0.11,26/6/2018
Bomb Chicken,NS,Action,Nitrome,,,,,,1/7/2018
RTO 2,WiiU,Shooter,nuGAME,,,,,,1/3/2018
Light Fingers,NS,Action,Numizmatic,,,,,,20/9/2018
Animal Force,PS4,Party,Oasis Games Ltd.,,,,,,10/7/2018
Salary Man Escape VR,PS4,Puzzle,Oasis Games Ltd.,,,,,,26/6/2018
Earth Wars,NS,Action,One or Eight Inc.,,,,,,25/1/2018
Gunhouse,NS,Puzzle,Other Ocean Interactive,,,,,,15/1/2018
Talon Man Remastered,Amig,Puzzle,Out of crumpét's:,,,,,,1/1/2018
Franchise Hockey Manager 5,PC,Simulation,Out of the Park Developments,,,,,,5/10/2018
Crayola Scoot,PC,Sports,Outright Games,,,,,,16/10/2018
Paw Patrol on a Roll,NS,Platform,Outright Games,,0.12,,0.01,0.13,23/10/2018
Paw Patrol on a Roll,3DS,Platform,Outright Games,,,,,,23/10/2018
Paw Patrol on a Roll,PC,Platform,Outright Games,,,,,,23/10/2018
The Fall Part 2: Unbound,NS,Action-Adventure,Over The Moon,,,,,,13/2/2018
Cities: Skylines,NS,Simulation,Paradox Interactive,,,,,,14/9/2018
Surviving Mars,All,Simulation,Paradox Interactive,,,,,,15/3/2018
Surviving Mars,PC,Simulation,Paradox Interactive,,,,,,15/3/2018
Membrane,NS,Puzzle,Perfect Hat,,,,,,22/2/2018
Moss,PS4,Adventure,Perp Games,,,,,,12/6/2018
Past Cure,PC,Action,Phantom 8 Studio,,,,,,23/2/2018
Heartbound,PC,Adventure,Pirate Software,,,,,,25/12/2018
ChromaGun,NS,Shooter,Pixel Maniacs,,,,,,22/1/2018
Tales of the Tiny Planet,NS,Puzzle,Pixelsplit,,,,,,17/1/2018
INSIDE,NS,Adventure,Playdead,,,,,,28/6/2018
AWAY: Journey to the Unexpected,NS,Action-Adventure,PLAYDIUS,,,,,,30/12/2018
Touhou Luna Nights,All,Platform,Playism,,,,,,20/8/2018
Agony,PC,Action,PlayWay,,,,,,29/5/2018
Agony,Series,Action-Adventure,PlayWay,,,,,,29/5/2018
Agony,All,Action-Adventure,PlayWay,,,,,,29/5/2018
A Normal Lost Phone,NS,Puzzle,Plug In Digital,,,,,,1/3/2018
Bombslinger,NS,Action,Plug In Digital,,,,,,11/4/2018
Bombslinger,PC,Action,Plug In Digital,,,,,,11/4/2018
DragoDino,NS,Adventure,Plug In Digital,,,,,,27/4/2018
Steredenn: Binary Stars,NS,Fighting,Plug In Digital,,,,,,8/3/2018
Super Rocket Shootout,NS,Party,Plug In Digital,,,,,,6/3/2018
VOEZ,NS,Music,PM Studios,,,,,,14/8/2018
Poisoft Thud Card,NS,Board+Game,Poisoft,,,,,,1/3/2018
Super Skull Smash GO! 2 Turbo,PC,Platform,Poppy Works,,,,,,17/7/2018
Super Skull Smash GO! 2 Turbo,PS4,Platform,Poppy Works,,,,,,17/7/2018
Super Skull Smash GO! 2 Turbo,PSV,Platform,Poppy Works,,,,,,17/7/2018
Muv-Luv,PSV,Visual+Novel,PQube,,,,,,26/6/2018
Muv-Luv Alternative,PSV,Visual+Novel,PQube,,,,,,26/6/2018
Valthirian Arc: Hero School Story,NS,Role-Playing,PQube,,,,,,2/10/2018
Delver,PC,Role-Playing,Priority Interrupt,,,,,,1/2/2018
The Three Kingdoms Love Story ~ The Art of Otome!,NS,Visual+Novel,Prototype,,,,,,22/11/2018
Brawl,NS,Platform,QubicGames,,,,,,12/1/2018
Grid Mania,NS,Puzzle,QubicGames,,,,,,2/3/2018
Mad Carnage,NS,Strategy,QubicGames,,,,,,2/2/2018
Masked Forces,WiiU,Shooter,R.G.B. SRL,,,,,,31/5/2018
World to the West,WiiU,Action-Adventure,Rain Games,,,,,,31/12/2018
World to the West,NS,Action-Adventure,Rain Games,,,,,,18/1/2018
Reverie,PSV,Adventure,Rainbite,,,,,,29/3/2018
Animated Jigsaws: Beautiful Japanese Scenery,NS,Puzzle,Rainy Frog,,,,,,5/4/2018
Dustoff Heli Rescue 2,NS,Action,Rainy Frog,,,,,,25/1/2018
Dark Souls Trilogy,PS4,Role-Playing,Bandai Namco Entertainment,0.07,,0.01,0.02,0.09,19/10/2018
Shining Resonance Refrain,NS,Role-Playing,Sega,0.05,0.01,0.01,0.01,0.09,10/7/2018
Shining Resonance Refrain,PS4,Role-Playing,Sega,0.03,0.01,0.04,0.01,0.08,10/7/2018
The Witch and the Hundred Knight 2,PS4,Role-Playing,NIS America,0.03,,0.03,0.01,0.07,27/3/2018
Disgaea 1 Complete,PS4,Role-Playing,NIS America,0.04,,0.01,0.01,0.07,9/10/2018
Dragon's Crown Pro,PS4,Role-Playing,Atlus,,0.03,0.03,0,0.07,15/5/2018
Victor Vran: Overkill Edition,NS,Role-Playing,Wired Productions,0.06,,,0.01,0.06,28/8/2018
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,PS4,Role-Playing,Tecmo Koei,0.03,,0.03,0.01,0.06,27/3/2018
Shadows Awakening,PS4,Role-Playing,Kalypso Media,0.05,,,0.01,0.06,4/9/2018
Disgaea 1 Complete,NS,Role-Playing,NIS America,0.03,0.01,0.01,0,0.06,9/10/2018
Portal Knights,NS,Role-Playing,505 Games,0.02,0.02,0.01,0,0.06,13/2/2018
Call of Cthulhu,XOne,Role-Playing,Focus Home Interactive,0.05,,,0.01,0.05,30/10/2018
Rainbow Snake,WiiU,Misc,RandomSpin,,,,,,3/5/2018
Metal Max Xeno,PS4,Role-Playing,NIS America,0.02,,0.03,0,0.05,25/9/2018
Battle Chasers: Nightwar,NS,Role-Playing,THQ Nordic,0.03,0.01,,0,0.05,15/5/2018
Lost Sphear,NS,Role-Playing,Square Enix,,0.02,0.02,0,0.04,23/1/2018
Megadimension Neptunia VIIR,PS4,Role-Playing,Idea Factory International,0.01,,0.03,0,0.04,8/5/2018
Shadows Awakening,XOne,Role-Playing,Kalypso Media,0.03,,,0,0.04,4/9/2018
Digimon Story: Cyber Sleuth - Hacker's Memory,PSV,Role-Playing,Namco Bandai Games,,,0.04,,0.04,19/1/2018
Immortal Unchained,PS4,Role-Playing,Sold Out,0.03,,,0.01,0.04,7/9/2018
Valkyria Chronicles 4,XOne,Role-Playing,Sega,0.03,,,0,0.04,25/9/2018
Darkest Dungeon,PS4,Role-Playing,Red Hook Studios,0.02,,0.01,0.01,0.04,24/4/2018
Secret of Mana,PSV,Role-Playing,Square Enix,,,0.04,,0.04,15/2/2018
South Park: The Stick of Truth,PS4,Role-Playing,Ubisoft,0.03,,,0.01,0.03,13/2/2018
Immortal Unchained,XOne,Role-Playing,Sold Out,0.03,,,0,0.03,7/9/2018
Darkest Dungeon,NS,Role-Playing,Merge Games,0.02,0.01,,0,0.03,24/4/2018
Utawarerumono: Chiriyukusha e no Komoriuta,PS4,Role-Playing,Aqua Plus,,,0.03,,0.03,26/4/2018
World of Final Fantasy Maxima,XOne,Role-Playing,Square Enix,0.03,,,0,0.03,6/11/2018
Divinity: Original Sin II,XOne,Role-Playing,Bandai Namco Entertainment,0.03,,,0,0.03,31/8/2018
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,NS,Role-Playing,Tecmo Koei,0.02,,0.01,0,0.03,27/3/2018
Shining Resonance Refrain,XOne,Role-Playing,Sega,0.02,,,0,0.03,10/7/2018
The Lost Child,NS,Role-Playing,NIS America,0.02,,,0,0.03,19/6/2018
The Legend of Heroes: Sen no Kiseki: Kai -Thors Military Academy 1204-,PS4,Role-Playing,Nihon Falcom Corporation,,,0.03,,0.03,8/3/2018
Mary Skelter: Nightmares 2,PS4,Role-Playing,Compile Heart,,,0.03,,0.03,12/7/2018
Zanki Zero: Last Beginning,PSV,Role-Playing,Spike Chunsoft,,,0.02,,0.02,5/7/2018
Lost Sphear,PS4,Role-Playing,Square Enix,,,0.02,,0.02,23/1/2018
Labyrinth of Refrain: Coven of Dusk,NS,Role-Playing,NIS America,0.02,,0.01,0,0.02,18/9/2018
South Park: The Stick of Truth,XOne,Role-Playing,Ubisoft,0.02,,,0,0.02,13/2/2018
Undertale,NS,Role-Playing,8-Apr,,,0.02,,0.02,18/9/2018
Touhou Genso Wanderer Reloaded,NS,Role-Playing,NIS America,0.01,,0.01,0,0.02,17/7/2018
Valthirian Arc: Hero School Story,PS4,Role-Playing,PQube,0.02,,,0,0.02,28/9/2018
Beyblade Burst: Battle Zero,NS,Role-Playing,FuRyu Corporation,,,0.02,,0.02,25/10/2018
Metal Max Xeno,PSV,Role-Playing,Kadokawa Games,,,0.02,,0.02,19/4/2018
Utawarerumono: Chiriyukusha e no Komoriuta,PSV,Role-Playing,Aqua Plus,,,0.02,,0.02,26/4/2018
Touhou Genso Wanderer Reloaded,PS4,Role-Playing,NIS America,0.01,,,0,0.02,17/7/2018
Fallen Legion: Rise to Glory,NS,Role-Playing,NIS America,0.01,,,0,0.02,29/5/2018
Banner Saga Trilogy,NS,Role-Playing,Gearbox Software,0.01,,,0,0.01,21/9/2018
God Wars: Nihon Shinwa Taisen,PS4,Role-Playing,Kadokawa Games,,,0.01,,0.01,14/6/2018
Atelier: The Alchemist of Arland 1-2-3 DX,PS4,Role-Playing,Koei Tecmo,,,0.01,,0.01,20/9/2018
Moonlighter,PS4,Role-Playing,Merge Games,0.01,,,0,0.01,9/11/2018
Hyperdimension Neptunia Re;Birth1 Plus,PS4,Role-Playing,Compile Heart,,,0.01,,0.01,31/5/2018
Lapis x Labyrinth,PS4,Role-Playing,Nippon Ichi Software,,,0.01,,0.01,29/11/2018
Lapis x Labyrinth,NS,Role-Playing,Nippon Ichi Software,,,0.01,,0.01,29/11/2018
WORKxWORK,NS,Role-Playing,FuRyu Corporation,,,0.01,,0.01,4/10/2018
Atelier: The Alchemist of Arland 1-2-3 DX,NS,Role-Playing,Koei Tecmo,,,0.01,,0.01,20/9/2018
Yuuna and the Haunted Hot Springs: Steam Dungeon,PS4,Role-Playing,FuRyu Corporation,,,0.01,,0.01,15/11/2018
God Wars: Nihon Shinwa Taisen,PSV,Role-Playing,Kadokawa Games,,,0.01,,0.01,14/6/2018
Your Four Knight Princesses Training Story,PSV,Role-Playing,Nippon Ichi Software,,,0.01,,0.01,8/3/2018
Super Destronaut DX,PSV,Shooter,Ratalaika Games,,,,,,17/7/2018
Super Destronaut DX,PS4,Shooter,Ratalaika Games,,,,,,17/7/2018
Super Destronaut DX,PC,Shooter,Ratalaika Games,,,,,,13/7/2018
Super Destronaut DX,NS,Shooter,Ratalaika Games,,,,,,13/7/2018
Super Destronaut DX,XOne,Shooter,Ratalaika Games,,,,,,11/7/2018
Twin Robots Ultimate Edition,NS,Platform,Ratalaika Games,,,,,,23/2/2018
Bad North,NS,Action,Raw Fury,,,,,,20/8/2018
Dandara,NS,Action,Raw Fury,,,,,,6/2/2018
Kingdom Two Crowns,NS,Strategy,Raw Fury,,,,,,11/12/2018
Strange Brigade,PC,Shooter,Rebellion Developments,,,,,,28/8/2018
Outlast II,NS,Action,Red Barrels,,,,,,27/3/2018
Outlast: Bundle of Terror,NS,Adventure,Red Barrels,,,,,,27/2/2018
Darkest Dungeon,XOne,Role-Playing,Red Hook Studios,,,,,,28/2/2018
Broken Sword 5: The Serpent's Curse,NS,Adventure,Revolution Software,,,,,,21/9/2018
Trailblazers,XOne,Racing,Rising Star Games,,,,,,9/5/2018
Trailblazers,PC,Racing,Rising Star Games,,,,,,8/5/2018
Super Seducer,Series,Simulation,RLR Training Inc,,,,,,6/3/2018
Everspace,NS,MMO,Rockfish Games,,,,,,11/12/2018
Red Dead Redemption 2,All,Action-Adventure,Rockstar Games,,,,,,26/10/2018
Red Dead Redemption 2,PS4,Action-Adventure,Rockstar Games,5.26,6.21,0.21,2.26,13.94,26/10/2018
Red Dead Redemption 2,XOne,Action-Adventure,Rockstar Games,3.76,1.47,,0.54,5.77,26/10/2018
Bendy and the Ink Machine,PS4,Puzzle,Rooster Teeth Games,0.15,,,0.03,0.18,20/11/2018
Bendy and the Ink Machine,NS,Puzzle,Rooster Teeth Games,0.15,,,0.02,0.17,20/11/2018
Bendy and the Ink Machine,XOne,Puzzle,Rooster Teeth Games,0.14,,,0.02,0.16,20/11/2018
Rusty Lake Paradise,PC,Adventure,Rusty Lake,,,,,,11/1/2018
Air Hockey,NS,Sports,Sabec Limited,,,,,,28/2/2018
POOL,NS,Sports,Sabec Limited,,,,,,20/2/2018
Spot The Difference: Ultimate Edition,NS,Action,Sabec Limited,,,,,,26/2/2018
NBA Playgrounds,NS,Sports,Saber Interactive,,,,,,4/1/2018
Microcosmum: Survival of Cells,PC,Strategy,Satur Entertainment,,,,,,24/6/2018
Streets of Red: Devil's Dare Deluxe,NS,Action,Secret Base,,,,,,12/4/2018
Blasters of the Universe,PS4,Shooter,Secret Location,,,,,,27/2/2018
Fist of The North Star: Lost Paradise,PS4,Action,Sega,0.09,0.05,0.18,0.03,0.36,2/10/2018
Football Manager 2019,All,Simulation,Sega,,,,,,2/11/2018
Football Manager 2019,PC,Simulation,Sega,,0.1,,0.01,0.11,2/11/2018
Phantasy Star Online 2: Cloud,NS,MMO,Sega,,,,,,4/4/2018
SEGA Ages: Phantasy Star,NS,Role-Playing,Sega,,,,,,13/12/2018
SEGA Ages: Sonic the Hedgehog,NS,Platform,Sega,,,,,,20/9/2018
Sega Genesis Classics,NS,Misc,Sega,0.1,0.06,,0.02,0.18,7/12/2018
Sega Genesis Classics,PS4,Misc,Sega,0.08,0.21,,0.05,0.35,29/5/2018
Sega Genesis Classics,XOne,Misc,Sega,0.06,0.03,,0.01,0.1,29/5/2018
Shenmue I & II,PS4,Action-Adventure,Sega,0.09,0.1,0.05,0.04,0.27,21/8/2018
Shenmue I & II,PC,Action-Adventure,Sega,,,,,,21/8/2018
Shining Resonance Refrain,PC,Role-Playing,Sega,,,,,,31/12/2018
Sonic Forces,PC,Platform,Sega,,,,,,1/1/2018
Total War Saga: Thrones of Britannia,PC,Strategy,Sega,,,,,,3/5/2018
Two Point Hospital,PC,Simulation,Sega,,,,,,30/8/2018
Valkyria Chronicles,NS,Strategy,Sega,,,,,,16/10/2018
Valkyria Chronicles 4,All,Role-Playing,Sega,,,,,,25/9/2018
Valkyria Chronicles 4,PS4,Role-Playing,Sega,0.1,0.03,0.08,0.03,0.25,25/9/2018
Valkyria Chronicles 4,NS,Strategy,Sega,0.12,0.04,0.02,0.02,0.19,25/9/2018
Valkyria Chronicles 4,PC,Strategy,Sega,,,,,,25/9/2018
Yakuza 6: The Song of Life,PS4,Adventure,Sega,,,,,,17/4/2018
Yakuza: Kiwami 2,PS4,Action,Sega,0.08,0.06,0.19,0.03,0.37,28/8/2018
My Girlfriend is a Mermaid!?,PC,Visual+Novel,Sekai Project,,,,,,8/9/2018
Nekopara,NS,Visual+Novel,Sekai Project,,,,,,30/12/2018
Project Lux,PC,Adventure,Sekai Project,,,,,,2/2/2018
Farm Expert 2018,NS,Simulation,SimFabric,,,,,,30/3/2018
Spartan,NS,Platform,Sinister Cyclops,,,,,,1/4/2018
Fantasy Strike,NS,Fighting,Sirlin Games,,,,,,1/7/2018
Slime Rancher,PS4,Simulation,Skybound Games,0.08,,,0.02,0.1,4/9/2018
Slime Rancher,XOne,Simulation,Skybound Games,0.08,,,0.01,0.1,4/9/2018
Ben and Ed - Blood Party,PC,Platform,Sluggerfly,,,,,,13/2/2018
Super One More Jump,NS,Platform,SMG Studio,,,,,,25/1/2018
Amorous,PC,Simulation,Snaggletooth Studios,,,,,,13/4/2018
ARK Park,PC,Adventure,Snail Games USA,,,,,,22/3/2018
PixARK,PC,Sandbox,Snail Games USA,,,,,,27/3/2018
Venture Kid,PC,Platform,Snikkabo AS,,,,,,3/5/2018
Earthlock,NS,Role-Playing,Snowcastle Games,,,,,,8/3/2018
8-Bit Armies,PC,Strategy,Soedesco,,,,,,21/9/2018
8-Bit Armies,NS,Strategy,Soedesco,,,,,,21/9/2018
N.E.R.O.: Nothing Ever Remains Obscure,PS4,Adventure,Soedesco,,,,,,26/10/2018
Overcooked! 2,NS,Simulation,Sold Out,0.17,0.09,0.01,0.03,0.29,7/8/2018
Overcooked! 2,PS4,Simulation,Sold Out,0.07,0.06,,0.03,0.16,7/8/2018
Alteric,NS,Platform,Sometimes You,,,,,,30/3/2018
Energy Balance,NS,Puzzle,Sometimes You,,,,,,16/1/2018
Metropolis: Lux Obscura,NS,Puzzle,Sometimes You,,,,,,4/4/2018
One Eyed Kutkh,NS,Adventure,Sometimes You,,,,,,9/3/2018
Spiral Splatter,NS,Puzzle,Sometimes You,,,,,,13/3/2018
911 Operator,NS,Strategy,SONKA,,,,,,26/10/2018
The Way Remastered,NS,Adventure,SONKA,,,,,,20/4/2018
Astro Bot Rescue Mission,PS4,Platform,Sony Interactive Entertainment,0.22,0.36,0.02,0.11,0.71,2/10/2018
Bravo Team,PS4,Shooter,Sony Interactive Entertainment,0.12,0.09,0.02,0.04,0.27,6/3/2018
Chimparty,PS4,Party,Sony Interactive Entertainment,,,,,,13/11/2018
Creed: Rise to Glory,PS4,Sports,Sony Interactive Entertainment,0.15,,,0.04,0.19,25/9/2018
Déraciné,PS4,Adventure,Sony Interactive Entertainment,0.07,,0.01,0.02,0.1,6/11/2018
Detroit: Become Human,All,Adventure,Sony Interactive Entertainment,,,,,,25/5/2018
Detroit: Become Human,PS4,Adventure,Sony Interactive Entertainment,,,,,,25/5/2018
Firewall: Zero Hour,PS4,Shooter,Sony Interactive Entertainment,0.14,0.16,0.02,0.06,0.37,29/8/2018
Frantics,PS4,Party,Sony Interactive Entertainment,,,,,,6/3/2018
God of War (2018),All,Action,Sony Interactive Entertainment,,,,,,20/4/2018
Red Faction: Guerrilla Re-Mars-tered,PS4,Shooter,THQ Nordic,0.04,0.04,,0.02,0.09,3/7/2018
Borderlands 2 VR,PS4,Shooter,2K Games,0.07,,,0.02,0.09,14/12/2018
Strange Brigade,PS4,Shooter,Rebellion Developments,0.05,0.03,,0.02,0.09,28/8/2018
Wild Guns Reloaded,NS,Shooter,Natsume,0.06,,,0.01,0.07,17/4/2018
God of War (2018),PS4,Action,Sony Interactive Entertainment,,,,,,20/4/2018
Strange Brigade,XOne,Shooter,Rebellion Developments,0.04,0.01,,0.01,0.05,28/8/2018
Red Faction: Guerrilla Re-Mars-tered,XOne,Shooter,THQ Nordic,0.04,0.01,,0,0.05,3/7/2018
Black Clover: Quartet Knights,PS4,Shooter,Bandai Namco Entertainment,0.02,,0.01,0,0.04,14/9/2018
Operation Warcade,PS4,Shooter,Perpetual,0.03,,,0.01,0.04,4/9/2018
Hunting Simulator,NS,Shooter,Bigben Interactive,0.02,,,0,0.02,10/7/2018
Destiny 2: Forsaken,PC,Shooter,Activision,,0.02,,0,0.02,4/9/2018
Tempest 4000,XOne,Shooter,Atari,0.01,,,0,0.01,27/7/2018
Big Buck Hunter Arcade,NS,Shooter,GameMill Entertainment,0.01,,,0,0.01,16/10/2018
Tempest 4000,PS4,Shooter,Atari,0.01,,,0,0.01,27/7/2018
Mothergunship,XOne,Shooter,Sold Out,0.01,,,0,0.01,24/8/2018
Mothergunship,PS4,Shooter,Sold Out,0.01,,,0,0.01,24/8/2018
Gungrave VR,PS4,Shooter,Xseed Games,0.01,,,0,0.01,11/12/2018
Knowledge is Power: Decades,PS4,Party,Sony Interactive Entertainment,,,,,,14/11/2018
Marvel's Spider-Man,Series,Action-Adventure,Sony Interactive Entertainment,,,,,,7/9/2018
Marvel's Spider-Man,PS4,Action-Adventure,Sony Interactive Entertainment,,,,,,7/9/2018
MLB The Show 18,PS4,Sports,Sony Interactive Entertainment,0.86,,,0.2,1.06,27/3/2018
PlayerUnknown's Battlegrounds,PS4,Shooter,Sony Interactive Entertainment,0.13,0.15,,0.05,0.33,7/12/2018
Shadow of the Colossus,PS4,Action-Adventure,Sony Interactive Entertainment,0.44,0.52,0.05,0.19,1.2,6/2/2018
Tetris Effect,PS4,Puzzle,Sony Interactive Entertainment,0.19,0.01,0.01,0.05,0.25,9/11/2018
The Inpatient,PS4,Action,Sony Interactive Entertainment,0.06,0.05,,0.02,0.13,23/1/2018
Track Lab,PS4,Music,Sony Interactive Entertainment,,,,,,21/8/2018
World of Warriors,PS4,Action,Sony Interactive Entertainment,,,,,,21/3/2018
Dragon's Prophet,PC,MMO,Sony Online Entertainment,,,,,,23/9/2018
Out of Reach,PC,Action,Space Boat Studios,,,,,,13/7/2018
Omensight,PS4,Action,SpearHead Games,,,,,,15/5/2018
Fire Pro Wrestling World,PS4,Fighting,Spike Chunsoft,0.06,0.02,0.03,0.02,0.12,28/8/2018
Nuclien,NS,Puzzle,Springloaded,,,,,,19/1/2018
Dissidia Final Fantasy NT,PS4,Fighting,Square Enix,0.19,0.06,0.16,0.05,0.46,30/1/2018
Dragon Quest Builders: Revive Alefgard,NS,Role-Playing,Square Enix,0.07,0.07,0.07,0.01,0.22,9/2/2018
Dragon Quest X: All in One Package Ver.1-4,PC,MMO,Square Enix,,,,,,26/7/2018
Dragon Quest X: All in One Package Ver.1-4,WiiU,MMO,Square Enix,,,,,,26/7/2018
Dragon Quest XI,All,Role-Playing,Square Enix,,,,,,4/9/2018
Dragon Quest XI: Echoes of an Elusive Age,PS4,Role-Playing,Square Enix,0.29,0.22,1.43,0.1,2.04,4/9/2018
Fear Effect Sedna,NS,Role-Playing,Square Enix,,,,,,6/3/2018
Final Fantasy XII: The Zodiac Age,PC,Role-Playing,Square Enix,,,,,,1/2/2018
Final Fantasy XV Multiplayer: Comrades,XOne,Role-Playing,Square Enix,,,,,,13/12/2018
Final Fantasy XV Multiplayer: Comrades,PS4,Role-Playing,Square Enix,,,,,,13/12/2018
Final Fantasy XV Pocket Edition,PC,Role-Playing,Square Enix,,,,,,6/6/2018
Final Fantasy XV Pocket Edition,And,Role-Playing,Square Enix,,,,,,8/2/2018
Final Fantasy XV Pocket Edition,iOS,Role-Playing,Square Enix,,,,,,8/2/2018
Final Fantasy XV Pocket Edition HD,NS,Role-Playing,Square Enix,,,,,,13/9/2018
Final Fantasy XV Pocket Edition HD,XOne,Role-Playing,Square Enix,,,,,,6/9/2018
Final Fantasy XV Pocket Edition HD,PS4,Role-Playing,Square Enix,,,,,,6/9/2018
Final Fantasy XV: Windows Edition,PC,Role-Playing,Square Enix,,,,,,6/3/2018
Forgotton Anne,PS4,Action-Adventure,Square Enix,,,,,,15/5/2018
Just Cause 4,PS4,Action-Adventure,Square Enix,0.18,0.26,0.03,0.09,0.56,4/12/2018
Just Cause 4,XOne,Action-Adventure,Square Enix,0.17,0.09,,0.03,0.29,4/12/2018
Just Cause 4,PC,Action-Adventure,Square Enix,,,,,,4/12/2018
Kingdom Hearts: The Story So Far,PS4,Role-Playing,Square Enix,0.17,,,0.04,0.2,30/10/2018
