Name,Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release_Date
AO International Tennis,PC,Sports,Big Ant Studios,,,,,,8/5/2018
TT Isle of Man: Ride on the Edge,PS4,Racing,Big Ben Interactive,0.05,0.09,,0.03,0.17,6/3/2018
Enigmatis 3: The Shadow Of Karkhala,PS4,Puzzle,Big Fish Games,,,,,,6/4/2018
My Little Riding Champion,XOne,Sports,Bigben Interactive,,,,,,29/11/2018
My Little Riding Champion,PS4,Sports,Bigben Interactive,,,,,,29/11/2018
Premium Pool Arena,NS,Sports,Bigben Interactive,,,,,,6/2/2018
Pro Fishing Simulator,PC,Simulation,Bigben Interactive,,,,,,29/11/2018
Tennis World Tour,All,Sports,Bigben Interactive,,,,,,22/5/2018
Tennis World Tour,PC,Sports,Bigben Interactive,,,,,,22/5/2018
V-Rally 4,PC,Racing,Bigben Interactive,,,,,,25/9/2018
Her Majesty's SPIFFING,NS,Adventure,Billy Goat Entertainment,,,,,,1/2/2018
Light Fall,NS,Platform,Bishop Games,,,,,,1/5/2018
Spacecats with Lasers,NS,Action,Bitten Toast Games,,,,,,22/2/2018
Super Meat Boy,NS,Platform,BlitWorks,,,,,,11/1/2018
Diablo III: Eternal Collection,NS,Action,Blizzard Entertainment,0.38,0.22,0.01,0.06,0.67,2/11/2018
World of Warcraft: Battle for Azeroth,PC,MMO,Blizzard Entertainment,,,,,,14/8/2018
Layers of Fear: Legacy,NS,Adventure,Bloober Team S.A.,,,,,,21/2/2018
10 Second Run RETURNS,NS,Action,Blue Print,,,,,,25/1/2018
DayZ,All,Action-Adventure,Bohemia Interactive,,,,,,13/12/2018
Crypt of the NecroDancer: Nintendo Switch Edition,NS,Music,Brace Yourself Games,,,,,,1/2/2018
Pizza Titan Ultra,PS4,Action,Breakfall,,,,,,21/8/2018
Old Man's Journey,NS,Puzzle,Broken Rules,,,,,,20/2/2018
Firewatch,NS,Adventure,Campo Santo,,,,,,17/12/2018
Biohazard 7: Resident Evil - Cloud Version,NS,Action,Capcom,,,,,,24/5/2018
Capcom Beat 'Em Up Bundle,XOne,Fighting,Capcom,,,,,,18/9/2018
Life Is Strange: Before the Storm,XOne,Adventure,Square Enix,0.07,0,,0.01,0.09,6/3/2018
Subnautica,XOne,Adventure,Gearbox Software,0.06,,,0.01,0.07,4/12/2018
